2Dmemory	2Dmemory<br>二度半存储器
reset pulse	reset pulse<br>复位脉冲，置“0”脉冲，清除脉冲；［重设脉波］
reset rate	reset rate<br>复位率；［重设率］
reset switch	reset switch<br>复位开关，置“0”开关；［重设开关］
resettable data base	resettable data base<br>可复位数据库；［可重设资料库］
reset to n	reset to n<br>复位到n
reset to zero (RZ)	reset to zero (RZ)<br>【动】复位(到零)
reshaping signal	reshaping signal<br>整形［再成型］信号
residence system	residence system<br>常驻系统
residence volume system	residence volume system<br>驻留卷系统
resident	resident<br>【修】驻留的；［驻存］
resident control executive area	resident control executive area<br>常驻控制执行程序区(域)
resident control program	resident control program<br>常驻控制程序；［驻存控制程式］
residential error ratio	residential error ratio<br>驻留差错率；［驻存差错率］
resident load module (RLM)	resident load module (RLM)<br>常驻装入模块；［驻存馈入模组］
resident macroassembler	resident macroassembler<br>常驻宏汇编程序；［驻存巨组合程式］
resident modules	resident modules<br>常驻模块；［驻存模组］
resident program	resident program<br>常驻程序；［驻存程式］
resident program select list	resident program select list<br>常驻程序选择表；［驻存程式选择表］
resident program storage	resident program storage<br>常驻程序存储器；［驻存程式储存器］
resident routine	resident routine<br>驻留［常驻］例行程序；［驻存常式］
resident segment	resident segment<br>常驻程序段
resident set	resident set<br>常驻集；［驻存集］
resident software	resident software<br>驻留软件；［驻存软体］
resident supervisor	resident supervisor<br>常驻管理程序；［驻存管理程式］
resident volume	resident volume<br>常驻卷；［驻存卷］
residenterror ratio	residenterror ratio<br>残差比；［剩余误差比］
residual error	residual error<br>残(留误)差;［剩余误差］
residual error rate	residual error rate<br>残留错误率；［剩余误差率］
residual error ratio	residual error ratio<br>残留错误率；［剩余误差比］
residue	residue<br>残余
residue check	residue check<br>余数校验法；［剩余核对］
residues problems	residues problems<br>残余问题
resistortransistorlogic(RTL)	resistortransistorlogic(RTL)<br>电阻晶体管逻辑电路；［电阻电晶体逻辑］
resolution error	resolution error<br>分辨误差
resolution factor	resolution factor<br>判定系数，分辨率
resolution sensitivity	resolution sensitivity<br>分辨灵敏度
resolution wedge test pattern	resolution wedge test pattern<br>分辨率楔形测试图
resolver	resolver<br>分解器
resolving power	resolving power<br>分辨能力
resonance	resonance<br>谐振，共振
resource	resource<br>资源
resource access control facility (RACF)	resource access control facility (RACF)<br>资源访问控制程序；［资源接达控制程式］
resource access security	resource access security<br>资源访问安全(性)；［资源接达安全］
resource allocation	resource allocation<br>资源分配
resource control block (RCB)	resource control block (RCB)<br>资源控制块
resource definition table (RDT)	resource definition table (RDT)<br>资源定义表
resource hierarchy	resource hierarchy<br>资源分层结构［体系］；［资源阶组］
resource identification table (RSID)	resource identification table (RSID)<br>资源标识表
resource identifier	resource identifier<br>资源标识符；［资源识别号］
resource management	resource management<br>资源管理
resource manager	resource manager<br>资源管理程序；［资源管理器］
resource number	resource number<br>资源号
resource pool	resource pool<br>资源库
resource protection	resource protection<br>资源保护
resource sharing	resource sharing<br>资源共享(技术)；［资源分享］
resource sharing control	resource sharing control<br>资源共享控制(法)
resource table	resource table<br>资源表
resource takeover	resource takeover<br>资源接管
resource vector table (RVT)	resource vector table (RVT)<br>资源向［矢］量表
responded output	responded output<br>响应输出
responder	responder<br>应答器
respond key typeout	respond key typeout<br>打字响应键
response	response<br>应答；响应(报文)；［响应］
response alternate program communication block	response alternate program communication block<br>应答替补［响应备用］程序通信块
response analysis program (RAP)	response analysis program (RAP)<br>应答分析程序；［响应分析程式］
response curve	response curve<br>响应曲线
response duration	response duration<br>响应时间
response frame	response frame<br>应答帧
response header (RH)	response header (RH)<br>应答头标，响应报头
response mode	response mode<br>响应［应答］方式；［响应模态］
response position	response position<br>应答位置；［响应位置］
response ratio	response ratio<br>响应率
response/throughput bias (RTB)	response/throughput bias (RTB)<br>响应/吞吐量偏差
response time	response time<br>响应时间
response unit (RU)	response unit (RU)<br>应答单元；［响应单位］
responsetime monitor	responsetime monitor<br>响应时间监督程序；［响应时间监督程式］
restart	restart<br>重新启动，再启动；［重始］
restart condition	restart condition<br>再启动条件；［重始条件］
restart data set	restart data set<br>再启动数据集；［重始资料集］
restart instruction	restart instruction<br>再启动指令；［重始指令］
restart point	restart point<br>重(新)启动点；［重始点］
restitution	restitution<br>恢复，复原，解调
restore	restore<br>【动】恢复，复原，再存入，再生；［重定］
restorepulse generator	restorepulse generator<br>复原脉冲发生器
restricted area	restricted area<br>限制区
restricted conference call	restricted conference call<br>有限会议呼叫
restricted functions	restricted functions<br>限定功能［操作程序］
restricteduse mass storage volume	restricteduse mass storage volume<br>受限使用海量存储器卷
restricteduse volume	restricteduse volume<br>限定使用卷
result	result<br>结果
resulting indicator	resulting indicator<br>结果指示符
resume	resume<br>恢复
resynchronization	resynchronization<br>再［重新］同步
retail exit routines	retail exit routines<br>零售(系统)出口例行程序；［零售出口常式］
